ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x3484","0x40","0","1","0","0","128","6","0xab34","10.0.0.4","13.226.3.38","52","0x00","52420","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x519a","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x6d24","92.123.111.33","10.0.0.4","52","0x00","443","52417","0","1","0","32","0x0012","0","1","0","0","1","0","0","64240","0xcab2","0","1452"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x6d24","92.123.111.33","10.0.0.4","52","0x00","443","52418","0","1","0","32","0x0012","0","1","0","0","1","0","0","64240","0xbef7","0","1452"
"4","20",,"0xd32d","0x00","0","0","0","0","245","6","0xd78a","13.226.3.38","10.0.0.4","52","0x00","443","52420","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xa4d5","0","1440"
"4","20",,"0x88f2","0x00","0","0","0","0","120","6","0x6af1","142.250.181.226","10.0.0.4","52","0x00","443","52410","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x98cb","0","1430"
"4","20",,"0x0000","0x40","0","1","0","0","57","6","0x8f2f","151.101.17.44","10.0.0.4","52","0x00","443","52416","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x5bcc","0","1452"
"4","20",,"0x3487","0x40","0","1","0","0","128","6","0xab31","10.0.0.4","13.226.3.38","52","0x00","52421","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x5cba","0","1460"
"4","20",,"0x284e","0x00","0","0","0","0","246","6","0x816a","13.226.3.38","10.0.0.4","52","0x00","443","52421","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x734f","0","1440"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x6d24","92.123.111.33","10.0.0.4","52","0x00","443","52417","0","1","0","32","0x0012","0","1","0","0","1","0","0","64240","0xcab2","0","1452"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x6d24","92.123.111.33","10.0.0.4","52","0x00","443","52418","0","1","0","32","0x0012","0","1","0","0","1","0","0","64240","0xbef7","0","1452"
"6",,,,,,,,,,,,,,,,"52422","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xe539","0","1440"
"6",,,,,,,,,,,,,,,,"52423","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xa8a4","0","1440"
"6",,,,,,,,,,,,,,,,"443","52422","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x3fd4","0","1340"
"6",,,,,,,,,,,,,,,,"443","52423","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xb162","0","1340"
"6",,,,,,,,,,,,,,,,"52424","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x6e0a","0","1440"
"6",,,,,,,,,,,,,,,,"443","52424","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x496c","0","1340"
"4","20",,"0x1b41","0x40","0","1","0","0","128","6","0xb91e","10.0.0.4","82.166.201.186","52","0x00","52425","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x05fa","0","1460"
"4","20",,"0x9e46","0x40","0","1","0","0","128","6","0x86dd","10.0.0.4","92.123.111.33","52","0x00","52426","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xd946","0","1460"
"6",,,,,,,,,,,,,,,,"52427","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xd244","0","1440"
"4","20",,"0x0000","0x40","0","1","0","0","60","6","0x1860","82.166.201.186","10.0.0.4","52","0x00","443","52425","0","1","0","32","0x0012","0","1","0","0","1","0","0","29200","0x40e7","0","1452"
"6",,,,,,,,,,,,,,,,"443","52427","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x4c79","0","1340"
"4","20",,"0x2ce6","0x40","0","1","0","0","128","6","0x3f05","10.0.0.4","23.3.109.210","52","0x00","52428","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x8a95","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x6d24","92.123.111.33","10.0.0.4","52","0x00","443","52426","0","1","0","32","0x0012","0","1","0","0","1","0","0","64240","0xd4b3","0","1452"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x6d24","92.123.111.33","10.0.0.4","52","0x00","443","52426","0","1","0","32","0x0012","0","1","0","0","1","0","0","64240","0xd4b3","0","1452"
"4","20",,"0x0000","0x40","0","1","0","0","54","6","0xb5eb","23.3.109.210","10.0.0.4","52","0x00","443","52428","0","1","0","32","0x0012","0","1","0","0","1","0","0","64240","0xf214","0","1452"
"6",,,,,,,,,,,,,,,,"52429","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x2617","0","1440"
"6",,,,,,,,,,,,,,,,"443","52429","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x39b6","0","1340"
"6",,,,,,,,,,,,,,,,"52430","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x556b","0","1440"
"4","20",,"0x9d31","0x40","0","1","0","0","128","6","0x5545","10.0.0.4","104.19.150.54","52","0x00","52431","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x55a0","0","1460"
"4","20",,"0xc746","0x40","0","1","0","0","128","6","0x187d","10.0.0.4","13.226.3.27","52","0x00","52432","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xd03e","0","1460"
"6",,,,,,,,,,,,,,,,"52433","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0xe8b9","0","1440"
"6",,,,,,,,,,,,,,,,"52434","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x3f75","0","1440"
"6",,,,,,,,,,,,,,,,"443","52430","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x51cd","0","1340"
"4","20",,"0x0000","0x40","0","1","0","0","59","6","0x3777","104.19.150.54","10.0.0.4","52","0x00","443","52431","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x4d0c","0","1400"
"4","20",,"0xbf87","0x00","0","0","0","0","245","6","0xeb3b","13.226.3.27","10.0.0.4","52","0x00","443","52432","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x4156","0","1440"
"6",,,,,,,,,,,,,,,,"443","52434","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xc053","0","1340"
"6",,,,,,,,,,,,,,,,"443","52433","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xa871","0","1340"
"6",,,,,,,,,,,,,,,,"52435","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x671d","0","1440"
"4","20",,"0x5ef9","0x40","0","1","0","0","128","6","0xd2e0","10.0.0.4","46.228.144.2","52","0x00","52436","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x6a0e","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","56","6","0x79da","46.228.144.2","10.0.0.4","52","0x00","443","52436","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x1ed3","0","1452"
"6",,,,,,,,,,,,,,,,"443","52435","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x8373","0","1340"
"4","20",,"0xf824","0x40","0","1","0","0","128","6","0x6053","10.0.0.4","185.33.223.38","52","0x00","52437","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xdb7d","0","1460"
"4","20",,"0x9341","0x40","0","1","0","0","128","6","0x3c17","10.0.0.4","34.107.254.252","52","0x00","52438","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0xc223","0","1460"
"4","20",,"0x002e","0x40","0","1","0","0","128","6","0xc36e","10.0.0.4","35.241.9.51","52","0x00","52439","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x34f4","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","49","6","0xa778","185.33.223.38","10.0.0.4","52","0x00","443","52437","0","1","0","32","0x0012","0","1","0","0","1","0","0","42340","0x9cb2","0","1452"
"4","20",,"0xfa92","0x00","0","0","0","0","120","6","0x1cc6","34.107.254.252","10.0.0.4","52","0x00","443","52438","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x7f99","0","1430"
"4","20",,"0x7cc3","0x00","0","0","0","0","120","6","0x8ed9","35.241.9.51","10.0.0.4","52","0x00","443","52439","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xd536","0","1430"
"4","20",,"0xab56","0x40","0","1","0","0","128","6","0x9cd8","10.0.0.4","151.101.17.44","52","0x00","52440","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64240","0x4293","0","1460"
"6",,,,,,,,,,,,,,,,"52441","443","0","0","0","32","0x0002","0","1","0","0","0","0","0","64800","0x83be","0","1440"
"4","20",,"0x0000","0x40","0","1","0","0","57","6","0x8f2f","151.101.17.44","10.0.0.4","52","0x00","443","52440","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x857e","0","1452"
"6",,,,,,,,,,,,,,,,"443","52441","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x87b8","0","1340"
