ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x0000","0x40","0","1","0","0","59","6","0x9dd5","72.246.151.16","192.168.1.56","60","0x00","80","57680","0","1","0","40","0x0012","0","1","0","0","1","0","0","28960","0x9392","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","53","6","0x15c4","104.26.6.6","192.168.1.56","52","0x00","443","57674","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x80dc","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","53","6","0x15c4","104.26.6.6","192.168.1.56","52","0x00","443","57676","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xa119","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","53","6","0x15c4","104.26.6.6","192.168.1.56","52","0x00","443","57673","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0xed1f","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","52","6","0x16c4","104.26.6.6","192.168.1.56","52","0x00","443","57675","0","1","0","32","0x0012","0","1","0","0","1","0","0","65535","0x6fe6","0","1360"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x353d","192.168.1.56","104.79.219.75","64","0x00","57682","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x1ab8","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","64","6","0x20b2","192.168.1.56","104.16.240.21","64","0x00","57683","443","0","0","0","44","0x0002","0","1","0","0","0","0","0","65535","0x5c4d","0","1460"
"4","20",,"0x0000","0x40","0","1","0","0","59","6","0x3a41","104.79.219.75","192.168.1.56","60","0x00","443","57682","0","1","0","40","0x0012","0","1","0","0","1","0","0","65160","0x39d9","0","1360"
"4","20",,"0xfac7","0x00","0","0","0","0","117","6","0xc94c","172.217.18.238","192.168.1.56","60","0x00","443","57677","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x2624","0","1260"
"4","20",,"0xe626","0x00","0","0","0","0","117","6","0x7c4d","34.107.254.252","192.168.1.56","60","0x00","443","57678","0","1","0","40","0x0012","0","1","0","0","1","0","0","65535","0x57e1","0","1360"
