ip.version,ip.hdr_len,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.time_delta,tcp.stream,frame.time_relative,frame.len,stream_key,average_time_delta,std_time_delta,average_ttl,std_ttl,average_len,std_len,os
4,20,0x2719,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.5e-05,7,18.136226,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x271a,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,5.3e-05,7,18.20165,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x271b,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.1e-05,7,18.201691,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x271c,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,5.3e-05,7,18.220262,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x271d,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.1e-05,7,18.220303,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x271e,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,5.6e-05,7,18.242371,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x271f,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,5.8e-05,7,18.242429,66,8,4.940000000000001e-05,6.484168755086841e-06,128.0,0.0,0.0,0.0,Windows
4,20,0x2720,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,71,0,62657,443,2225,6120,31,20,24,0,0,0,1,1,0,0,131840,0x53a2,0,0.096801,7,18.33923,85,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2721,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,0.000137,7,18.358426,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2722,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,0.000132,7,18.358558,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2723,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,0.000179,7,18.479885,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2724,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,0.000141,7,18.480026,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2725,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,6.9e-05,7,18.480095,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2726,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,6.3e-05,7,18.522401,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2727,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,4.4e-05,7,18.522445,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2728,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,1.5e-05,7,18.52246,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x2729,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,0.000142,7,18.544276,66,9,0.009772300000000001,0.03057881310482799,128.0,0.0,3.1,9.803060746521977,Windows
4,20,0x272a,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,52,0,62657,443,2256,6120,0,32,16,0,0,0,0,1,0,0,131840,0x538f,0,0.000122,7,18.544398,66,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0x272b,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,40,0,62657,443,2256,32794,0,20,16,0,0,0,0,1,0,0,131840,0x5383,0,0.000131,7,18.544529,54,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0x272c,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,79,0,62657,443,2256,32794,39,20,24,0,0,0,1,1,0,0,131840,0x53aa,0,0.001427,7,18.545956,93,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0x272d,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,40,0,62657,443,2295,42314,0,20,16,0,0,0,0,1,0,0,131840,0x5383,0,0.000306,7,18.555581,54,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0x272e,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,40,0,62657,443,2295,49114,0,20,16,0,0,0,0,1,0,0,131840,0x5383,0,0.000276,7,18.555857,54,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0x272f,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,40,0,62657,443,2295,49867,0,20,16,0,0,0,0,1,0,0,131072,0x5383,0,0.045856,7,18.605932,54,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
